"","PIECETAG","STEMTAG","QUADNAME","QX.x","QY.x","SPCODE","BDS.2014","BDS.2017","BDS.2021","DC.2014","DC.2017","DC.2021","TOPDIAM.2014","TOPDIAM.2017","TOPDIAM.2021","DBH.2014","DBH.x","DBH.2017","DBH.y","DBH.2019","DBH.2021","LENGTH.2014","LENGTH.2017","LENGTH.2021","HEIGHT.2014","HEIGHT.2017","HEIGHT.2021"
"526","30624A","30624","361",3.9,2.2,"LIST2","standing broken","Snag","Log","1","2",3,25.7,21.3,NA,32.4,32.3,30.9,29.7,NA,NA,NA,NA,NA,4,6,NA
"527","30822A","30822","356",NA,NA,"CATO6","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,33.2,NA,NA,NA,NA,NA,11.6,NA,NA,NA,NA,NA
"528","30832A","30832","356",NA,NA,"QURU","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,11.6,NA,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA
"529","30837A","30837","357",NA,NA,"CACA18","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA
"530","30871A","30871","358",NA,NA,"LIST2","lying whole",NA,"Log","2",NA,2,NA,NA,13.1,35.7,NA,NA,NA,NA,35.1,13.3,NA,15,NA,NA,NA
"531","30883A","30883","3510",NA,NA,"QURU","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA
"532","30911A","30911","347",NA,NA,"LIST2","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,22.8,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA
"533","30915A","30915","347",NA,NA,"LIST2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA
"534","30941A","30941","348",NA,NA,"UNKN","lying broken",NA,NA,"3",NA,NA,NA,NA,NA,12.4,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA
"535","30941B","30941","348",NA,NA,"UNKN","lying broken",NA,NA,"3",NA,NA,NA,NA,NA,12.3,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA
"536","31077B","31077","382",NA,NA,"QUAL","lying broken",NA,NA,"3",NA,NA,NA,NA,NA,60.5,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA
"537","31077A","31077","394",NA,NA,"QUAL","lying broken",NA,NA,"3",NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,17.5,NA,NA,NA,NA,NA
"538","31077C","31077","382",NA,NA,"QUAL","lying broken",NA,NA,"3",NA,NA,NA,NA,NA,38.6,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA
"539","31077E","31077","391",NA,NA,"QUAL","lying broken",NA,NA,"3",NA,NA,NA,NA,NA,36.3,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA
"540","31077D","31077","381",NA,NA,"QUAL","lying broken",NA,NA,"3",NA,NA,NA,NA,NA,37.4,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA
"541","31120A","31120","377",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,9,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA
"542","31120B","31120","377",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA
"543","31129B","31129","377",NA,NA,"COFL2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA
"544","31129A","31129","377",NA,NA,"COFL2","standing broken",NA,NA,"2",NA,NA,6.6,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"545","31137A","31137","378",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA
"546","31169A","31169","3710",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA
"547","31303A","31303","387",NA,NA,"COFL2","stump",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"548","31303B","31303","388",NA,NA,"COFL2","lying broken",NA,NA,"3",NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA
"549","31340A","31340","389",2.3,9.4,"CATO6","standing dead","Log","Log","2","4",3,NA,NA,NA,20.9,18.1,NA,15.3,NA,NA,NA,8,NA,NA,NA,NA
"550","31343A","31343","3810",NA,NA,"FAGR","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"551","31343B","31343","3810",NA,NA,"FAGR","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"552","31455A","31455","3104",NA,NA,"COFL2","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
"553","31472A","31472","3105",NA,NA,"COFL2","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"554","31477A","31477","3105",NA,NA,"CACA18","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA
"555","31614A","31614","3107",NA,NA,"COFL2","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"556","40093B","40093","426",8.5,6.5,"FAGR","standing broken","Log",NA,"2","3",NA,NA,NA,NA,33.7,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA
"557","40093A","40093","416",8.5,6.5,"FAGR","standing dead","Snag","Log","2","3",4,33.7,28.7,33.8,45.8,44.2,43.6,NA,NA,40.2,NA,NA,9.4,10.7,9.4,NA
"558","40093C","40093","426",NA,NA,"FAGR","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,28.9,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA
"559","40203B","40203","431",0,3.1,"CATO6","lying cut","Log","Log","1","2",4,NA,NA,36,46.5,NA,NA,NA,NA,36,2.3,2.3,1,NA,NA,NA
"560","40203E","40203","431",0,3.1,"CATO6","lying cut","Log","Log","1","2",3,NA,NA,11.5,39.1,NA,NA,NA,NA,19.5,2,2,3.4,NA,NA,NA
"561","40203H","40203","431",0,3.1,"CATO6","lying cut","Log","Log","1","2",3,NA,NA,29.1,36.1,NA,NA,NA,NA,30.2,10.4,10.4,10.4,NA,NA,NA
"562","40203G","40203","431",0,3.1,"CATO6","lying cut","Log","Log","1","2",3,NA,NA,9.4,38.2,NA,NA,NA,NA,14,1.5,1.5,3.3,NA,NA,NA
"563","40203A","40203","431",0,3.1,"CATO6","lying cut","Log","Log","1","2",4,NA,NA,44.2,46.5,NA,NA,NA,NA,44.6,NA,1.3,1.2,1.3,NA,NA
"564","40203D","40203","431",0,3.1,"CATO6","lying cut","Log","Log","1","2",4,NA,NA,36,39.1,NA,NA,NA,NA,36,2,2,1,NA,NA,NA
"565","40203C","40203","421",0,3.1,"CATO6","lying cut","Log","Log","1","2",4,NA,NA,34.5,43.8,NA,NA,NA,NA,37.1,2.5,2.5,1.5,NA,NA,NA
"566","40203F","40203","431",0,3.1,"CATO6","lying cut","Log","Log","1","2",3,NA,NA,18.8,38.9,NA,NA,NA,NA,21.8,2,2,7,NA,NA,NA
"567","40263A","40263","434",NA,NA,"CACA18","stump",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"568","40327A","40327","426",NA,NA,"UNKN","lying whole",NA,"Log","3",NA,2,NA,NA,8,12.5,NA,NA,13.3,NA,12.1,8.7,NA,8.7,NA,NA,NA
"569","40501C","40501","416",NA,NA,"LITU","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA
"570","40501E","40501","416",1.3,1.7,"LITU","lying whole","Log",NA,"2","5",NA,NA,NA,NA,21.6,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA
"571","40501B","40501","416",NA,NA,"LITU","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,24.7,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA
"572","40501D","40501","416",1.3,1.7,"LITU","lying whole","Log",NA,"2","5",NA,NA,NA,NA,22.2,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA
"573","40501A","40501","417",NA,NA,"LITU","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,32.8,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
"574","40511B","40511","426",4.6,4.4,"LITU","lying whole","Log",NA,"2","4",NA,NA,NA,NA,22.3,NA,NA,NA,NA,NA,1.8,1.8,NA,NA,NA,NA
"575","40511A","40511","417",4.6,4.4,"LITU","lying broken","Log",NA,"2","4",4,NA,NA,21.8,38.3,NA,NA,NA,NA,28.7,15.2,15.2,12,NA,NA,NA
"576","40626B","40626","429",3.6,9,"PIVI2","standing broken","Log","Log","2","4",3,NA,NA,5.4,19.3,NA,NA,NA,NA,17.2,14.3,19,16.1,NA,NA,NA
"577","40626A","40626","429",3.6,9,"PIVI2","standing broken","Snag","Log","2","3",4,19.3,20,20.7,20.1,20,19.5,19,NA,15.6,NA,NA,2,2.3,2,NA
"578","40633A","40633","4210",1.3,1.6,"PIVI2","standing dead","Snag","F","2","3",4,NA,18.6,NA,23.7,22.7,21.8,19,NA,18,NA,NA,NA,NA,3.4,3
"579","40772B","40772","443",NA,NA,"FAGR","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,31.9,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA
"580","40772A","40772","443",6.8,9.8,"FAGR","standing broken","Snag","Snag","2","4",4,31.9,NA,NA,66,66.1,64.8,66.3,NA,66.3,NA,NA,NA,13,11.3,10
"581","40772C","40772","443",NA,NA,"FAGR","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,31.9,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA
"582","40782A","40782","444",NA,NA,"NYSY","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA
"583","40857A","40857","461",1.9,9.9,"FAGR","standing broken","Snag","Log","1","2",4,NA,22.6,NA,20,19.6,20.6,16.3,NA,12.3,9.1,NA,2.8,NA,3.6,NA
"584","40862A","40862","462",3.4,5.6,"CATO6","standing broken","Log","Log","1","2",4,NA,NA,NA,34.6,34.6,34.8,NA,NA,31.8,16.1,NA,NA,NA,NA,NA
"585","40866A","40866","463",5.4,5.1,"FAGR","standing broken","Snag","Snag","1","2",5,NA,38.4,NA,58.8,53.8,51.6,49.8,NA,NA,16.5,NA,NA,NA,2.3,NA
"586","40990A","40990","457",NA,NA,"UNKN","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,31.6,NA,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA
"587","40997A","40997","458",8.8,0.3,"UNKN","standing dead","Snag","Log","3","4",5,NA,16,NA,17.7,17.3,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"588","41017A","41017","473",7.6,4,"CATO6","lying whole","Log","Log","2","4",5,NA,NA,NA,31.6,28.2,NA,NA,NA,NA,23.2,NA,NA,NA,NA,NA
"589","41067A","41067","476",2.8,9.2,"CATO6","lying whole","Log","Log","2","4",4,NA,NA,NA,24.3,NA,NA,NA,NA,NA,12.5,12.5,NA,NA,NA,NA
"590","41075A","41075","477",7.3,7,"FAGR","lying whole","Log","Log","3","5",5,NA,NA,NA,32.2,NA,NA,NA,NA,NA,11.8,11.8,NA,NA,NA,NA
"591","41077A","41077","477",6.7,10,"UNKN","lying whole","Log","Log","3","4",4,NA,NA,NA,28.3,NA,NA,NA,NA,NA,5.4,5.4,NA,NA,NA,NA
"592","41083A","41083","478",NA,NA,"FAGR","standing broken",NA,NA,"1",NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA
"593","41106A","41106","465",8,7.9,"UNKN","standing dead","Snag","Snag","3","4",5,NA,NA,NA,21.8,22.1,21.8,22.2,NA,NA,NA,NA,NA,2.4,2.3,NA
"594","41135A","41135","468",2.7,4,"LITU","standing broken","Snag","Log","2",NA,4,35.8,NA,NA,45.6,45.6,NA,45,NA,NA,NA,NA,NA,5,NA,NA
"595","41135B","41135","468",NA,NA,"LITU","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,35.8,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA
"596","41135C","41135","469",NA,NA,"LITU","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
"597","41135D","41135","459",NA,NA,"LITU","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,23.2,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA
"598","41230A","41230","448",3,5,"CACA18","lying whole","Log",NA,"2","2",NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,5.5,5.5,NA,NA,NA,NA
"599","41306A","41306","458",NA,NA,"UNKN","stump",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"600","41351A","41351","4510",NA,NA,"COFL2","standing dead",NA,NA,"1",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"601","41459A","41459","4710",9.7,6.6,"LITU","standing broken","Snag","Log","3",NA,5,18.5,NA,NA,22.9,22.5,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
"602","41459B","41459","4710",NA,NA,"LITU","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,18.5,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
"603","41490A","41490","4102",3.7,4.9,"UNKN","lying whole","Log","Log","3","4",5,NA,NA,NA,56.9,NA,NA,NA,NA,NA,10.9,10.9,NA,NA,NA,NA
"604","41500A","41500","4103",2.9,7.2,"UNKN","lying whole","Log","Log","2","3",5,NA,NA,NA,5.7,NA,NA,NA,NA,NA,4.1,4.1,NA,NA,NA,NA
"605","41548A","41548","492",7.4,8.8,"CACA18","lying whole","Log","Log","3","5",5,NA,NA,NA,21.7,NA,NA,NA,NA,NA,6.9,6.9,NA,NA,NA,NA
"606","41634A","41634","482",1.8,7.8,"CATO6","standing broken","Log","Log","2","3",5,18.1,NA,NA,26.1,25.3,NA,NA,NA,NA,NA,NA,NA,12,NA,NA
"607","41634B","41634","482",NA,NA,"CATO6","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,18.1,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA
"608","41646A","41646","483",NA,NA,"NYSY","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA
"609","41657C","41657","463",NA,NA,"CARYA","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,33.4,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA
"610","41657A","41657","484",5.8,4,"CARYA","standing broken","Log","Log","2","3",5,44.2,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
"611","41657B","41657","484",5.8,4,"CARYA","standing broken","Log","Log","2","3",5,NA,NA,NA,44.2,NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA
"612","41686A","41686","487",NA,NA,"QURU","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA
"613","41871A","41871","4910",1.4,2,"ACRU","standing broken","Log","Log","1","4",5,16.6,NA,NA,24.1,23.9,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
"614","41871B","41871","4910",NA,NA,"ACRU","standing broken",NA,NA,"1",NA,NA,NA,NA,NA,16.6,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA
"615","41901A","41901","487",NA,NA,"QUAL","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616","41906A","41906","487",NA,NA,"CAGL8","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,35.2,NA,NA,NA,NA,NA,19.5,NA,NA,NA,NA,NA
"617","41934B","41934","4810",NA,NA,"CAGL8","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,40.4,NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA
"618","41934A","41934","4810",6.4,1,"CAGL8","standing broken","Log","Log","2","4",5,40.4,NA,NA,49.8,49.1,NA,NA,NA,NA,NA,NA,NA,11,NA,NA
"619","50007A","50007","511",NA,NA,"ACRU","lying whole",NA,NA,"1",NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA
"620","50071A","50071","535",NA,NA,"LIBE3","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA
"621","50103A","50103","521",NA,NA,"CACA18","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622","50193A","50193","515",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623","50194A","50194","515",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"624","50267A","50267","51010",NA,NA,"CACA18","stump",NA,NA,"3",NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA
"625","50271A","50271","51010",NA,NA,"FRPE","standing dead",NA,NA,"3",NA,NA,NA,NA,NA,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"626","50343A","50343","529",NA,NA,"ACRU","stump",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"627","50401A","50401","551",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA
"628","50402A","50402","551",5.7,2.8,"FAGR","standing dead","Snag","Log","3","4",5,NA,40,24.8,48.3,47.8,45.7,NA,NA,44.5,NA,NA,2,NA,2,NA
"629","50495A","50495","561",4.1,7,"FAGR","standing broken","Snag","Log","3","4",4,NA,NA,45.7,69.4,69.3,61.3,NA,NA,57.8,NA,NA,11,NA,11.6,NA
"630","50592B","50592","5410",NA,NA,"ULAM","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,17.1,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA
"631","50592C","50592","5410",NA,NA,"ULAM","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,15.4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"632","50592A","50592","5410",9.4,5.5,"ULAM","standing broken","NF",NA,"3",NA,NA,17.1,NA,NA,22.8,22.1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
"633","50651A","50651","545",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"634","50652A","50652","545",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"635","50753A","50753","5910",NA,NA,"QUAL","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,22.8,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA
"636","50804A","50804","571",NA,NA,"UNKN","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA
"637","50807A","50807","571",NA,NA,"UNKN","stump",NA,NA,"3",NA,NA,NA,NA,NA,44.5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"638","50871A","50871","574",NA,NA,"ULAM","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA
"639","50898A","50898","5101",7.3,2.2,"LITU","standing dead","Snag","Log","3","3",4,NA,NA,10.6,20.2,19.8,18.8,NA,NA,17.8,NA,NA,4,NA,6,NA
"640","50901A","50901","5310",NA,NA,"ULAM","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA
"641","50961A","50961","5510",NA,NA,"COFL2","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"642","51031A","51031","599",9.3,9.4,"FRPE","standing broken","Log","Log","3","4",5,24.7,NA,NA,49.5,52.2,NA,NA,NA,NA,NA,2,NA,5,NA,NA
"643","51031B","51031","599",NA,NA,"FRPE","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,24.7,NA,NA,NA,NA,NA,12.6,NA,NA,NA,NA,NA
"644","51127A","51127","581",NA,NA,"COFL2","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645","51161A","51161","593",NA,NA,"CACA18","stump",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"646","51208A","51208","591",NA,NA,"COFL2","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647","51258A","51258","589",4.2,8.1,"COFL2","standing dead","Snag","Snag","2",NA,3,NA,NA,9.9,20.5,19.7,NA,NA,NA,17.7,NA,NA,6,NA,NA,NA
"648","51361A","51361","587",NA,NA,"ULRU","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,19.8,NA,NA,NA,NA,NA,13.9,NA,NA,NA,NA,NA
"649","53566A","53566","5107",NA,NA,"FRPE","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,29.3,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA
"650","53660B","53660","5108",NA,NA,"FRPE","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA
"651","53660A","53660","5108",NA,NA,"FRPE","standing broken",NA,NA,"3",NA,NA,10,NA,NA,13.6,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"652","53663A","53663","584",NA,NA,"ULAM","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653","53840A","53840","594",NA,NA,"UNKN","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"654","53841A","53841","594",NA,NA,"ULAM","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"655","53842A","53842","594",NA,NA,"ULAM","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"656","53882A","53882","596",NA,NA,"ACRU","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,11.6,NA,NA,NA,NA,NA
"657","53952A","53952","567",8,8.2,"ULRU","standing dead","Log","Log","2","3",4,NA,NA,NA,11.5,11.5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"658","60054A","60054","614",2.3,6.7,"LITU","standing broken","Log",NA,"3","5",NA,NA,NA,NA,20,19.5,NA,NA,NA,NA,NA,2,NA,3,NA,NA
"659","60060A","60060","615",NA,NA,"COFL2","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"660","60138A","60138","624",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA
"661","60173C","60173","616",NA,NA,"LIST2","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA
"662","60173B","60173","626",NA,NA,"LIST2","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,17.3,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA
"663","60173F","60173","616",NA,NA,"LIST2","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,10.8,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA
"664","60173A","60173","625",NA,NA,"LIST2","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,22.5,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA
"665","60173E","60173","616",NA,NA,"LIST2","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA
"666","60173D","60173","616",NA,NA,"LIST2","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,14.2,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA
"667","60179A","60179","627",NA,NA,"CARYA","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,53.5,NA,NA,NA,NA,NA,11.6,NA,NA,NA,NA,NA
"668","60207A","60207","617",NA,NA,"CACA18","standing dead",NA,NA,"1",NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"669","60227A","60227","617",NA,NA,"LITU","lying whole",NA,"Log","1",NA,1,NA,NA,NA,74.9,NA,NA,NA,NA,NA,22.3,NA,NA,NA,NA,NA
"670","60233A","60233","618",NA,NA,"CACA18","lying whole",NA,NA,"1",NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA
"671","60243A","60243","618",NA,NA,"CACA18","lying whole",NA,NA,"1",NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA
"672","60255A","60255","619",NA,NA,"CACA18","lying whole",NA,NA,"1",NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA
"673","60261A","60261","619",NA,NA,"FAGR","lying whole",NA,NA,"1",NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
"674","60282B","60282","6110",NA,NA,"CATO6","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,36.9,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA
"675","60282A","60282","6110",7.8,4.6,"CATO6","standing broken","Log","Log","2","3",4,36.9,NA,NA,42.3,41.2,NA,NA,NA,NA,NA,8,NA,8,NA,NA
"676","60282C","60282","619",NA,NA,"CATO6","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,32.1,NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA
"677","60291B","60291","6110",NA,NA,"LIST2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,14.6,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA
